country,mean_lifeExp
Argentina,69.06041666666667
Bolivia,52.504583333333336
Brazil,62.2395
Canada,74.90275
Chile,67.43091666666666
Colombia,63.89775
Costa Rica,70.18141666666666
Cuba,71.04508333333334
Dominican Republic,61.5545
Ecuador,62.816833333333335
El Salvador,59.63333333333333
Guatemala,56.729416666666665
Haiti,50.16525
Honduras,57.920833333333334
Jamaica,68.74933333333334
Mexico,65.40883333333333
Nicaragua,58.34941666666667
Panama,67.80175
Paraguay,66.80908333333333
Peru,58.85933333333333
Puerto Rico,72.73933333333333
Trinidad and Tobago,66.828
United States,73.4785
Uruguay,70.78158333333333
Venezuela,66.58066666666667
